Position	Std
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	1.376429
46	1.031073
47	2.815061
48	0.000000
49	0.000000
50	1.276267
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.252532
57	0.800730
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.391863
63	0.000000
64	0.430032
65	1.529950
66	37.168173
67	0.391145
68	0.159772
69	0.117556
70	0.082793
71	0.212525
72	0.081148
73	0.162595
74	0.155839
75	0.154446
76	0.057798
77	0.117011
78	0.121666
79	0.128097
80	0.115142
81	0.117727
82	0.112288
83	0.113037
84	0.133692
85	0.051187
86	0.132627
87	0.081657
88	0.064754
89	0.126701
90	0.117052
91	0.066062
92	0.080856
93	0.099638
94	0.062982
95	0.093958
96	0.154233
97	0.105384
98	0.129832
99	0.063925
100	0.072544
101	0.109443
102	0.119931
103	0.076723
104	0.054740
105	0.083879
106	0.111093
107	0.077508
108	0.153964
109	0.114672
110	0.099075
111	0.096852
112	0.041888
113	0.074596
114	0.147312
115	0.057984
116	0.112326
117	0.053016
118	0.077762
119	0.114172
120	0.159848
121	0.071034
122	0.085878
123	0.054357
124	0.084585
125	0.114802
126	0.083072
127	0.045298
128	0.096413
129	0.097203
130	0.111154
131	0.059454
132	0.090112
133	0.084332
134	0.106970
135	0.070881
136	0.084139
137	0.136850
138	0.063221
139	0.090989
140	0.079994
141	0.066567
142	0.054058
143	0.122504
144	0.068605
145	0.060278
146	0.084907
147	0.076514
148	0.076170
149	0.084948
150	0.055671
151	0.070385
152	0.078057
153	0.076088
154	0.057067
155	0.071794
156	0.074014
157	0.065210
158	0.081552
159	0.053761
160	0.058839
161	0.094382
162	0.079847
163	0.063035
164	0.092873
165	0.070456
166	0.058059
167	0.066227
168	0.100080
169	0.063715
170	0.092455
171	0.101513
172	0.071454
173	0.062017
174	0.076931
175	0.080127
176	0.058972
177	0.066579
178	0.054340
179	0.091589
180	0.053605
181	0.083588
182	0.083452
183	0.072354
184	0.064293
185	0.086836
186	0.058566
187	0.066813
188	0.100296
189	0.063048
190	0.064020
191	0.103467
192	0.091806
193	0.067417
194	0.083133
195	0.146144
196	0.105124
197	0.076026
198	0.066705
199	0.088730
200	0.084932
201	0.076051
202	0.085551
203	0.075096
204	0.069221
205	0.046724
206	0.088608
207	0.061806
208	0.049296
209	0.089347
210	0.071780
211	0.065018
212	0.077292
213	0.080845
214	0.101032
