Position	Std
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	1.313722
45	1.010763
46	1.088648
47	1.874339
48	0.000000
49	0.000000
50	0.943900
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.229989
57	0.560667
58	0.000000
59	0.000000
60	0.671150
61	0.000000
62	0.288800
63	0.000000
64	0.351336
65	1.418772
66	2.025002
67	0.212053
68	0.071219
69	0.080108
70	0.065966
71	0.147052
72	0.059858
73	0.086017
74	0.115170
75	0.079884
76	0.042850
77	0.072525
78	0.070897
79	0.077199
80	0.068691
81	0.057203
82	0.074106
83	0.074434
84	0.076971
85	0.041800
86	0.085501
87	0.051951
88	0.043940
89	0.078440
90	0.057964
91	0.051865
92	0.053108
93	0.055771
94	0.043275
95	0.065336
96	0.085439
97	0.066488
98	0.075593
99	0.046033
100	0.049968
101	0.071363
102	0.068825
103	0.047463
104	0.039699
105	0.046483
106	0.070063
107	0.048232
108	0.077538
109	0.062036
110	0.081042
111	0.055999
112	0.034914
113	0.060566
114	0.061171
115	0.037330
116	0.078819
117	0.041925
118	0.050453
119	0.057875
120	0.076778
121	0.044645
122	0.047228
123	0.042696
124	0.062932
125	0.072947
126	0.056865
127	0.029676
128	0.068560
129	0.064137
130	0.068944
131	0.048504
132	0.046824
133	0.051247
134	0.066007
135	0.058605
136	0.043680
137	0.082715
138	0.035456
139	0.051619
140	0.048518
141	0.046338
142	0.036971
143	0.071974
144	0.043988
145	0.043018
146	0.050575
147	0.048555
148	0.047955
149	0.053191
150	0.033779
151	0.040094
152	0.051087
153	0.046080
154	0.037891
155	0.050588
156	0.046621
157	0.049923
158	0.054176
159	0.037801
160	0.041749
161	0.056976
162	0.051839
163	0.039942
164	0.058888
165	0.045202
166	0.042302
167	0.050862
168	0.051140
169	0.045932
170	0.059912
171	0.054279
172	0.044767
173	0.044423
174	0.046691
175	0.044567
176	0.037415
177	0.038888
178	0.038047
179	0.054811
180	0.043848
181	0.058112
182	0.057956
183	0.053770
184	0.044188
185	0.053820
186	0.036265
187	0.052670
188	0.070192
189	0.038411
190	0.049360
191	0.059460
192	0.059548
193	0.040655
194	0.055283
195	0.092812
196	0.055503
197	0.048615
198	0.051634
199	0.050037
200	0.055550
201	0.052569
202	0.052106
203	0.043433
204	0.044150
205	0.031609
206	0.056009
207	0.046364
208	0.035849
209	0.057102
210	0.043444
211	0.043526
212	0.058760
213	0.049668
214	0.057007
